Ticker,Date/Time,open,high,low,close,atr_red,dc_gray_hh,med_gray_hh,dc_gray_ll,med_gray_ll,dc_brown_hh,dc_brown_ll
BTS,5/5/2017,8.45,8.55,8.3,8.4,9.3,9.8,9.8,7.6,7.6,9,8.2
BTS,12/5/2017,8.4,8.45,8.25,8.3,9.3,9.8,9.8,7.6,7.6,9,8.2
BTS,19/5/2017,8.35,8.4,8.25,8.3,9.29,9.8,9.8,7.6,7.6,9,8.2
BTS,26/5/2017,8.35,8.4,8.25,8.3,9.28,9.8,9.8,7.6,7.6,9,8.2
BTS,2/6/2017,8.25,8.6,8.2,8.5,9.28,9.8,9.8,7.6,7.6,9,8.2
BTS,9/6/2017,8.55,8.6,8.45,8.5,9.28,9.8,9.8,7.6,7.6,8.75,8.2
BTS,16/6/2017,8.5,8.55,8.4,8.4,9.28,9.8,9.8,7.6,7.6,8.75,8.2
BTS,23/6/2017,8.45,8.7,8.4,8.65,9.28,9.8,9.8,7.6,7.6,8.75,8.2
BTS,30/6/2017,8.65,8.75,8.35,8.5,9.28,9.8,9.8,7.6,7.6,8.75,8.2
BTS,7/7/2017,8.5,8.55,8.4,8.5,9.28,9.8,9.8,7.6,7.6,8.75,8.2
BTS,14/7/2017,8.5,8.5,8.4,8.45,9.28,9.8,9.8,7.6,7.6,8.75,8.2
BTS,21/7/2017,8.4,8.6,8.4,8.5,9.28,9.45,9.8,7.6,7.6,8.75,8.2
BTS,27/7/2017,8.5,8.7,8.5,8.65,9.28,9.4,9.8,7.6,7.6,8.75,8.2
BTS,4/8/2017,8.65,8.7,8.4,8.6,9.28,9.35,9.8,7.6,7.6,8.75,8.2
BTS,11/8/2017,8.6,8.6,8.45,8.45,9.28,9.35,9.8,7.6,7.6,8.75,8.2
BTS,18/8/2017,8.45,8.6,8.4,8.55,9.28,9.35,9.8,7.6,7.6,8.75,8.2
BTS,25/8/2017,8.6,8.6,8.45,8.5,9.28,9.15,9.8,7.6,7.6,8.75,8.2
BTS,1/9/2017,8.55,8.95,8.45,8.65,9.28,9,9.8,7.6,7.6,8.75,8.2
BTS,8/9/2017,8.65,8.8,8.6,8.65,9.28,9,9.8,7.6,7.6,8.95,8.2
BTS,15/9/2017,8.65,8.7,8.55,8.65,9.28,9,9.8,7.6,7.6,8.95,8.2
BTS,22/9/2017,8.65,8.8,8.55,8.55,9.28,9,9.8,7.6,7.6,8.95,8.2
BTS,29/9/2017,8.55,8.65,8.5,8.55,9.28,9,9.8,7.6,7.6,8.95,8.2
BTS,6/10/2017,8.55,8.65,8.5,8.6,9.28,9,9.8,8.2,7.6,8.95,8.2
BTS,12/10/2017,8.6,8.65,8.4,8.55,9.28,9,9.8,8.2,7.6,8.95,8.2
BTS,20/10/2017,8.55,8.55,8.4,8.4,9.28,9,9.8,8.2,7.6,8.95,8.2
BTS,27/10/2017,8.45,8.55,8.45,8.45,9.28,9,9.8,8.2,7.6,8.95,8.2
BTS,3/11/2017,8.5,8.55,8.4,8.4,9.28,9,9.8,8.2,7.6,8.95,8.2
BTS,10/11/2017,8.4,8.5,8.35,8.35,9.23,9,9.8,8.2,7.6,8.95,8.2
