Ticker,Date/Time,open,high,low,close,atr_red,dc_gray_hh,med_gray_hh,dc_gray_ll,med_gray_ll,dc_brown_hh,dc_brown_ll
PTG,3/12/2018,9.55,9.65,9.45,9.55,7.91,13.70,13.70,7.50,9.80,10.90,7.50
PTG,4/12/2018,9.55,9.65,9.45,9.65,8.03,13.70,13.70,7.50,9.80,10.90,7.50
PTG,6/12/2018,9.45,10.00,9.40,9.95,8.32,13.70,13.70,7.50,9.80,10.90,7.50
PTG,7/12/2018,10.00,10.10,9.70,9.75,8.32,13.70,13.70,7.50,9.80,10.90,7.50
PTG,11/12/2018,9.70,9.75,9.35,9.35,8.32,13.70,13.70,7.50,9.80,10.90,7.50
PTG,12/12/2018,9.45,9.50,9.25,9.35,8.32,13.70,13.70,7.50,9.80,10.80,7.50
PTG,13/12/2018,9.40,9.55,9.30,9.30,8.32,13.70,13.70,7.50,9.80,10.80,7.50
PTG,14/12/2018,9.35,9.40,8.55,8.60,8.32,13.70,13.70,7.50,9.58,10.20,7.50
PTG,17/12/2018,8.65,8.80,8.40,8.65,8.32,13.60,13.70,7.50,9.10,10.10,7.50
PTG,18/12/2018,8.60,8.75,8.50,8.65,8.32,13.40,13.70,7.50,8.85,10.10,7.50
PTG,19/12/2018,8.65,9.35,8.65,9.30,8.32,12.20,13.70,7.50,8.35,10.10,7.50
PTG,20/12/2018,9.25,9.25,8.95,9.20,8.32,12.10,13.70,7.50,7.75,10.10,7.50
PTG,21/12/2018,9.15,9.35,9.00,9.05,8.32,11.90,13.70,7.50,7.65,10.10,7.50
PTG,24/12/2018,9.05,9.15,8.90,8.90,8.32,11.70,13.70,7.50,7.65,10.10,7.50
PTG,25/12/2018,8.75,8.85,8.55,8.60,8.32,11.70,13.70,7.50,7.57,10.10,7.50
PTG,26/12/2018,8.70,8.80,8.50,8.60,8.32,11.60,13.70,7.50,7.50,10.10,7.55
PTG,27/12/2018,8.90,8.95,8.50,8.50,8.32,11.60,13.70,7.50,7.50,10.10,7.60
PTG,28/12/2018,8.60,8.70,8.10,8.60,8.32,11.60,13.70,7.50,7.50,10.10,7.60
PTG,2/1/2019,8.55,8.80,8.55,8.70,8.32,11.60,13.70,7.50,7.50,10.10,8.05
PTG,3/1/2019,8.75,9.15,8.75,9.15,8.32,11.40,13.70,7.50,7.50,10.10,8.05
PTG,4/1/2019,9.10,9.45,9.10,9.45,8.32,11.20,13.70,7.50,7.50,10.10,8.10
PTG,7/1/2019,9.55,9.70,9.45,9.60,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,8/1/2019,9.65,9.65,9.40,9.45,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,9/1/2019,9.60,9.60,9.35,9.40,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,10/1/2019,9.35,9.80,9.35,9.60,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,11/1/2019,9.70,9.85,9.55,9.55,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,14/1/2019,9.55,9.55,9.25,9.25,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,15/1/2019,9.30,9.35,8.95,8.95,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,16/1/2019,9.00,9.25,8.95,9.25,8.32,10.90,13.70,7.50,7.50,10.10,8.10
PTG,17/1/2019,9.30,9.40,9.25,9.25,8.32,10.90,13.70,7.50,7.50,9.85,8.10
PTG,18/1/2019,9.30,9.40,9.25,9.30,8.32,10.80,13.70,7.50,7.50,9.85,8.10
PTG,21/1/2019,9.35,9.60,9.35,9.55,8.32,10.80,13.70,7.50,7.50,9.85,8.10
PTG,22/1/2019,9.55,10.00,9.45,10.00,8.55,10.20,13.65,7.50,7.50,9.85,8.10
