,SumFeat_1_0.842,SumFeat_2_0.841,SumFeat_3_0.843,SumFeat_4_0.846,SumFeat_5_0.844,SumFeat_6_0.846,SumFeat_7_0.843,SumFeat_8_0.843,SumFeat_9_0.845,SumFeat_10_0.841,TotalFeat,AvgFeat
indy_ma-550,0.40865228,0.41675878,0.39572084,0.3841164,0.3911252,0.3817638,0.3895015,0.39592087,0.386373,0.41855124,3.9684842,0.7215426
indy_ma-1100,2.4363115,2.4277248,2.4745898,2.4951723,2.4652605,2.5519233,2.4736028,2.486367,2.4779239,2.4477594,24.736635,4.49757
indy_hh-550,0.2755502,0.28367943,0.275128,0.25620678,0.27192885,0.24501714,0.26876757,0.27752104,0.26566997,0.28764915,2.7071183,0.49220333
indy_ll-550,0.1073269,0.10935182,0.10579838,0.100688115,0.10532646,0.097016335,0.10447851,0.10551768,0.10316833,0.10843764,1.0471101,0.19038366
indy_mid-550,0.15560667,0.1579163,0.15506408,0.14585404,0.15343478,0.13975076,0.15121265,0.1564916,0.14946468,0.15819782,1.5229933,0.2769079
indy_hh2-1100,0.3834267,0.38500562,0.37803027,0.4052829,0.38304183,0.40291625,0.38626054,0.3752975,0.39619428,0.3836828,3.8791385,0.7052979
indy_ll2-1100,0.12777087,0.12546383,0.12503994,0.12718989,0.12571214,0.12358555,0.1256395,0.12412557,0.12655665,0.12314724,1.2542312,0.22804204
indy_mid2-1100,0.14505267,0.14341238,0.14761648,0.14890586,0.14828919,0.14708072,0.14840497,0.14666307,0.14857957,0.1421768,1.4661818,0.2665785
indy_macd110-440,0.17272061,0.1724061,0.17078012,0.17006733,0.17093667,0.16710925,0.17070158,0.16985111,0.17148553,0.16769199,1.7037503,0.30977276
indy_signal110-440-110,0.11412196,0.11224751,0.10982637,0.11112167,0.11095214,0.109004706,0.111618295,0.108231634,0.11236996,0.107738264,1.1072326,0.20131502
indy_hist_macd110-440,0.071620375,0.07003562,0.07084695,0.070214756,0.07119471,0.06856162,0.07079646,0.0700403,0.070657805,0.06810706,0.70207566,0.12765013
indy_rsi25-ma20,0.047832467,0.047962125,0.04748682,0.04486914,0.047456544,0.04348488,0.0470204,0.047354374,0.04630204,0.04702148,0.4667903,0.084870964
indy_6ATRTrail_DC-110,0.046166144,0.046356298,0.047745302,0.048048563,0.047622822,0.046067216,0.048021156,0.048149504,0.048141096,0.046315826,0.47263393,0.08593344
cate_3trend-550_ma110,0.17793222,0.17741531,0.18206996,0.17621239,0.18320383,0.17653716,0.18154266,0.18178198,0.17706953,0.17514198,1.7889069,0.3252558
cate_2trend-1100_ma220,0.12392583,0.12081142,0.122262225,0.124115914,0.1245027,0.12055921,0.12362008,0.12095516,0.12396183,0.11714414,1.2218585,0.22215609
cate_rannkHL1100-ma66,0.1341485,0.1314354,0.12350657,0.12298165,0.12430089,0.11887696,0.12450963,0.12182047,0.12488589,0.12880842,1.2552743,0.22823168
cate_CombineTrend,0.071834,0.07201719,0.06848804,0.068952635,0.07571069,0.06074524,0.074301824,0.063911185,0.07119591,0.07242876,0.69958544,0.12719736
