,SumFeat_1_0.848,SumFeat_2_0.847,SumFeat_3_0.846,SumFeat_4_0.845,SumFeat_5_0.846,SumFeat_6_0.844,SumFeat_7_0.845,SumFeat_8_0.845,SumFeat_9_0.845,SumFeat_10_0.845,TotalFeat,AvgFeat
indy_ma-550,0.07501052,0.07837819,0.074592434,0.065656796,0.07317486,0.061375372,0.07101059,0.07567368,0.06866905,0.07971481,0.7232563,0.07232563
indy_ma-1100,1.6418636,1.6654648,1.6986167,1.6533637,1.6895108,1.6847816,1.6759453,1.7150085,1.650558,1.6818855,16.756998,1.67569985
indy_hh-550,0.11554002,0.11843297,0.12239455,0.10924858,0.11937451,0.10430728,0.11644014,0.12381774,0.11422187,0.12332474,1.1671025,0.11671024
indy_ll-550,0.17048647,0.16570118,0.15499578,0.1635743,0.156663,0.16274875,0.15908094,0.15290686,0.16047026,0.16228876,1.6089164,0.16089163
indy_mid-550,0.15207973,0.15501705,0.14956367,0.13471939,0.14840914,0.12873226,0.14494258,0.15128094,0.14049885,0.15704882,1.4622924,0.146229243
indy_hh2-1100,1.6622652,1.6463116,1.6102785,1.6979873,1.6183964,1.6915025,1.627367,1.5976058,1.6679547,1.6324372,16.452106,1.64521062
indy_ll2-1100,0.08611017,0.08659088,0.08803101,0.088531926,0.08805289,0.08793083,0.088339746,0.08815472,0.08863568,0.08669645,0.8770743,0.08770743
indy_mid2-1100,0.16649531,0.16214985,0.16527759,0.16613793,0.16707097,0.16690946,0.16919076,0.16625834,0.1674755,0.15920089,1.6561666,0.16561666
indy_macd110-440,0.13180017,0.130566,0.13137798,0.12788284,0.13204795,0.123744965,0.13199371,0.13052319,0.13098344,0.130203,1.3011233,0.130112325
indy_signal110-440-110,0.12353733,0.12030885,0.121750765,0.12047831,0.123429224,0.1217533,0.12368851,0.12072261,0.123001,0.11865664,1.2173265,0.121732654
indy_hist_macd110-440,0.058877062,0.058270838,0.059285782,0.05813946,0.0603688,0.05719722,0.060068995,0.058424417,0.059780486,0.057480425,0.5878935,0.058789349
indy_rsi25-ma20,0.03866812,0.03831566,0.03919176,0.037186734,0.03950973,0.03590141,0.03900323,0.038858317,0.038285132,0.03838049,0.3833006,0.038330058
indy_6ATRTrail_DC-110,0.097491734,0.09931499,0.09898111,0.090831354,0.09734498,0.093070686,0.09643549,0.09741005,0.09327176,0.09984859,0.96400076,0.096400074
cate_3trend-550_ma110,0.108289815,0.105317526,0.10156981,0.10457668,0.103130415,0.10294818,0.10749455,0.09991793,0.10729704,0.10429411,1.044836,0.104483606
cate_2trend-1100_ma220,0.22074673,0.22444956,0.2207401,0.21586521,0.21971454,0.21276057,0.22085428,0.22101276,0.22072013,0.22349045,2.2003543,0.220035433
cate_rannkHL1100-ma66,0.11394279,0.109958336,0.108962744,0.11133627,0.109999575,0.11043213,0.110196725,0.10830734,0.11228894,0.10816614,1.103591,0.110359099
cate_CombineTrend,0.03679525,0.035451725,0.05438982,0.054483227,0.05380191,0.053903453,0.057947524,0.054116987,0.055888027,0.036882922,0.4936608,0.049366085
