way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
tf5_0.844,0.549092,0.099029,0.001,40.0,31.0
tf5_0.844,0.549092,0.099029,0.001,40.0,50.0
tf5_0.844,0.549092,0.099029,0.001,40.0,100.0
tf5_0.844,0.549092,0.099029,0.001,40.0,150.0
tf5_0.844,0.549092,0.099029,0.001,40.0,200.0
tf5_0.844,0.549092,0.099029,0.001,40.0,250.0
tf5_0.844,0.549092,0.099029,0.001,60.0,31.0
tf5_0.844,0.549092,0.099029,0.001,60.0,50.0
tf5_0.844,0.549092,0.099029,0.001,60.0,100.0
tf5_0.844,0.549092,0.099029,0.001,60.0,150.0
tf5_0.844,0.549092,0.099029,0.001,60.0,200.0
tf5_0.844,0.549092,0.099029,0.001,60.0,250.0
tf5_0.844,0.549092,0.099029,0.001,80.0,31.0
tf5_0.844,0.549092,0.099029,0.001,80.0,50.0
tf5_0.844,0.549092,0.099029,0.001,80.0,100.0
tf5_0.844,0.549092,0.099029,0.001,80.0,150.0
tf5_0.844,0.549092,0.099029,0.001,80.0,200.0
tf5_0.844,0.549092,0.099029,0.001,80.0,250.0
tf5_0.844,0.549092,0.099029,0.001,100.0,31.0
tf5_0.844,0.549092,0.099029,0.001,100.0,50.0
tf5_0.844,0.549092,0.099029,0.001,100.0,100.0
tf5_0.844,0.549092,0.099029,0.001,100.0,150.0
tf5_0.844,0.549092,0.099029,0.001,100.0,200.0
tf5_0.844,0.549092,0.099029,0.001,100.0,250.0
tf5_0.844,0.592158,0.154964,0.001,120.0,31.0
tf5_0.844,0.591498,0.153898,0.001,120.0,50.0
tf5_0.844,0.592073,0.154827,0.001,120.0,100.0
tf5_0.844,0.591194,0.153407,0.001,120.0,150.0
tf5_0.844,0.592546,0.155595,0.001,120.0,200.0
tf5_0.844,0.592546,0.155595,0.001,120.0,250.0
tf5_0.844,0.684983,0.196642,0.001,140.0,31.0
tf5_0.844,0.685253,0.196152,0.001,140.0,50.0
tf5_0.844,0.678087,0.190673,0.001,140.0,100.0
tf5_0.844,0.677478,0.189396,0.001,140.0,150.0
tf5_0.844,0.681467,0.191792,0.001,140.0,200.0
tf5_0.844,0.681687,0.191933,0.001,140.0,250.0
tf5_0.844,0.742567,0.182494,0.001,160.0,31.0
tf5_0.844,0.742415,0.182584,0.001,160.0,50.0
tf5_0.844,0.729232,0.177521,0.001,160.0,100.0
tf5_0.844,0.733728,0.177644,0.001,160.0,150.0
tf5_0.844,0.737615,0.178782,0.001,160.0,200.0
tf5_0.844,0.737818,0.17886,0.001,160.0,250.0
tf5_0.844,0.743311,0.182876,0.001,180.0,31.0
tf5_0.844,0.740928,0.181869,0.001,180.0,50.0
tf5_0.844,0.729756,0.177776,0.001,180.0,100.0
tf5_0.844,0.727356,0.17741,0.001,180.0,150.0
tf5_0.844,0.728843,0.177887,0.001,180.0,200.0
tf5_0.844,0.729198,0.177987,0.001,180.0,250.0
