way,acc_mean,acc_std,learning_rate,n_estimators,num_leaves
short_tf5_0.838,0.652632,0.098761,0.001,40.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,40.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,40.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,40.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,40.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,40.0,250.0
short_tf5_0.838,0.652632,0.098761,0.001,60.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,60.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,60.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,60.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,60.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,60.0,250.0
short_tf5_0.838,0.652632,0.098761,0.001,80.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,80.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,80.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,80.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,80.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,80.0,250.0
short_tf5_0.838,0.652632,0.098761,0.001,100.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,100.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,100.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,100.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,100.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,100.0,250.0
short_tf5_0.838,0.652632,0.098761,0.001,120.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,120.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,120.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,120.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,120.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,120.0,250.0
short_tf5_0.838,0.652632,0.098761,0.001,140.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,140.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,140.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,140.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,140.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,140.0,250.0
short_tf5_0.838,0.652632,0.098761,0.001,160.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,160.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,160.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,160.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,160.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,160.0,250.0
short_tf5_0.838,0.652632,0.098761,0.001,180.0,31.0
short_tf5_0.838,0.652632,0.098761,0.001,180.0,50.0
short_tf5_0.838,0.652632,0.098761,0.001,180.0,100.0
short_tf5_0.838,0.652632,0.098761,0.001,180.0,150.0
short_tf5_0.838,0.652632,0.098761,0.001,180.0,200.0
short_tf5_0.838,0.652632,0.098761,0.001,180.0,250.0
short_tf5_0.838,0.651821,0.098013,0.001,200.0,31.0
short_tf5_0.838,0.653342,0.099432,0.001,200.0,50.0
short_tf5_0.838,0.662283,0.109125,0.001,200.0,100.0
short_tf5_0.838,0.662283,0.109125,0.001,200.0,150.0
short_tf5_0.838,0.662283,0.109125,0.001,200.0,200.0
short_tf5_0.838,0.662283,0.109125,0.001,200.0,250.0
short_tf5_0.838,0.67207,0.121876,0.001,220.0,31.0
short_tf5_0.838,0.671816,0.121523,0.001,220.0,50.0
short_tf5_0.838,0.664092,0.111332,0.001,220.0,100.0
short_tf5_0.838,0.664092,0.111332,0.001,220.0,150.0
short_tf5_0.838,0.664092,0.111332,0.001,220.0,200.0
short_tf5_0.838,0.664092,0.111332,0.001,220.0,250.0
short_tf5_0.838,0.651821,0.098013,0.005,40.0,31.0
short_tf5_0.838,0.652801,0.098919,0.005,40.0,50.0
short_tf5_0.838,0.662283,0.109125,0.005,40.0,100.0
short_tf5_0.838,0.662283,0.109125,0.005,40.0,150.0
short_tf5_0.838,0.662283,0.109125,0.005,40.0,200.0
short_tf5_0.838,0.662283,0.109125,0.005,40.0,250.0
short_tf5_0.838,0.677884,0.126982,0.005,60.0,31.0
short_tf5_0.838,0.681822,0.122841,0.005,60.0,50.0
short_tf5_0.838,0.683259,0.120883,0.005,60.0,100.0
short_tf5_0.838,0.685253,0.123713,0.005,60.0,150.0
short_tf5_0.838,0.716403,0.089817,0.005,60.0,200.0
short_tf5_0.838,0.756089,0.071615,0.005,60.0,250.0
short_tf5_0.838,0.813623,0.018901,0.005,80.0,31.0
short_tf5_0.838,0.813031,0.022303,0.005,80.0,50.0
short_tf5_0.838,0.811121,0.024857,0.005,80.0,100.0
short_tf5_0.838,0.806152,0.019202,0.005,80.0,150.0
short_tf5_0.838,0.796755,0.031623,0.005,80.0,200.0
short_tf5_0.838,0.799087,0.029629,0.005,80.0,250.0
short_tf5_0.838,0.830863,0.009901,0.005,100.0,31.0
short_tf5_0.838,0.830964,0.011428,0.005,100.0,50.0
short_tf5_0.838,0.81822,0.021153,0.005,100.0,100.0
short_tf5_0.838,0.81075,0.016045,0.005,100.0,150.0
short_tf5_0.838,0.8036,0.024721,0.005,100.0,200.0
short_tf5_0.838,0.800997,0.031097,0.005,100.0,250.0
short_tf5_0.838,0.834547,0.011525,0.005,120.0,31.0
short_tf5_0.838,0.832384,0.009049,0.005,120.0,50.0
short_tf5_0.838,0.817358,0.017648,0.005,120.0,100.0
short_tf5_0.838,0.811257,0.017998,0.005,120.0,150.0
short_tf5_0.838,0.810665,0.021166,0.005,120.0,200.0
short_tf5_0.838,0.805713,0.028475,0.005,120.0,250.0
short_tf5_0.838,0.834328,0.008595,0.005,140.0,31.0
short_tf5_0.838,0.832908,0.01029,0.005,140.0,50.0
short_tf5_0.838,0.818355,0.01717,0.005,140.0,100.0
short_tf5_0.838,0.812203,0.017015,0.005,140.0,150.0
short_tf5_0.838,0.809482,0.021364,0.005,140.0,200.0
short_tf5_0.838,0.808941,0.021934,0.005,140.0,250.0
short_tf5_0.838,0.831522,0.007221,0.005,160.0,31.0
short_tf5_0.838,0.832367,0.011014,0.005,160.0,50.0
short_tf5_0.838,0.816141,0.017165,0.005,160.0,100.0
short_tf5_0.838,0.813488,0.016278,0.005,160.0,150.0
short_tf5_0.838,0.808789,0.02155,0.005,160.0,200.0
short_tf5_0.838,0.81342,0.017749,0.005,160.0,250.0
short_tf5_0.838,0.832215,0.007095,0.005,180.0,31.0
short_tf5_0.838,0.832942,0.010582,0.005,180.0,50.0
short_tf5_0.838,0.817916,0.017508,0.005,180.0,100.0
short_tf5_0.838,0.814958,0.016997,0.005,180.0,150.0
short_tf5_0.838,0.811612,0.018196,0.005,180.0,200.0
short_tf5_0.838,0.812507,0.017211,0.005,180.0,250.0
short_tf5_0.838,0.832401,0.007385,0.005,200.0,31.0
short_tf5_0.838,0.832959,0.01162,0.005,200.0,50.0
short_tf5_0.838,0.818643,0.016939,0.005,200.0,100.0
short_tf5_0.838,0.815668,0.017967,0.005,200.0,150.0
short_tf5_0.838,0.812321,0.018603,0.005,200.0,200.0
short_tf5_0.838,0.812829,0.017571,0.005,200.0,250.0
short_tf5_0.838,0.83093,0.006981,0.005,220.0,31.0
short_tf5_0.838,0.833449,0.012829,0.005,220.0,50.0
short_tf5_0.838,0.820029,0.018487,0.005,220.0,100.0
short_tf5_0.838,0.817409,0.017831,0.005,220.0,150.0
short_tf5_0.838,0.810699,0.020252,0.005,220.0,200.0
short_tf5_0.838,0.813217,0.01797,0.005,220.0,250.0
short_tf5_0.838,0.816699,0.019277,0.01,40.0,31.0
short_tf5_0.838,0.813995,0.023715,0.01,40.0,50.0
short_tf5_0.838,0.811358,0.024305,0.01,40.0,100.0
short_tf5_0.838,0.806338,0.018942,0.01,40.0,150.0
short_tf5_0.838,0.795994,0.030688,0.01,40.0,200.0
short_tf5_0.838,0.797684,0.030117,0.01,40.0,250.0
short_tf5_0.838,0.83399,0.011374,0.01,60.0,31.0
short_tf5_0.838,0.833246,0.011059,0.01,60.0,50.0
short_tf5_0.838,0.817054,0.017548,0.01,60.0,100.0
short_tf5_0.838,0.811713,0.017928,0.01,60.0,150.0
short_tf5_0.838,0.806761,0.02594,0.01,60.0,200.0
short_tf5_0.838,0.80622,0.026945,0.01,60.0,250.0
short_tf5_0.838,0.832249,0.007849,0.01,80.0,31.0
short_tf5_0.838,0.833212,0.009634,0.01,80.0,50.0
short_tf5_0.838,0.81506,0.017027,0.01,80.0,100.0
short_tf5_0.838,0.813961,0.016496,0.01,80.0,150.0
short_tf5_0.838,0.808113,0.021568,0.01,80.0,200.0
short_tf5_0.838,0.807741,0.023713,0.01,80.0,250.0
short_tf5_0.838,0.831945,0.007028,0.01,100.0,31.0
short_tf5_0.838,0.832012,0.011853,0.01,100.0,50.0
short_tf5_0.838,0.818406,0.018182,0.01,100.0,100.0
short_tf5_0.838,0.81462,0.017641,0.01,100.0,150.0
short_tf5_0.838,0.811831,0.018651,0.01,100.0,200.0
short_tf5_0.838,0.812288,0.016846,0.01,100.0,250.0
short_tf5_0.838,0.833905,0.010421,0.01,120.0,31.0
short_tf5_0.838,0.831218,0.012182,0.01,120.0,50.0
short_tf5_0.838,0.821685,0.01784,0.01,120.0,100.0
short_tf5_0.838,0.818102,0.017675,0.01,120.0,150.0
short_tf5_0.838,0.812778,0.019356,0.01,120.0,200.0
short_tf5_0.838,0.813623,0.018567,0.01,120.0,250.0
short_tf5_0.838,0.83448,0.012421,0.01,140.0,31.0
short_tf5_0.838,0.831471,0.01477,0.01,140.0,50.0
short_tf5_0.838,0.822851,0.017447,0.01,140.0,100.0
short_tf5_0.838,0.820586,0.018349,0.01,140.0,150.0
short_tf5_0.838,0.814164,0.019475,0.01,140.0,200.0
short_tf5_0.838,0.818119,0.016761,0.01,140.0,250.0
short_tf5_0.838,0.835849,0.013909,0.01,160.0,31.0
short_tf5_0.838,0.831539,0.019353,0.01,160.0,50.0
short_tf5_0.838,0.825218,0.016943,0.01,160.0,100.0
short_tf5_0.838,0.821601,0.017805,0.01,160.0,150.0
short_tf5_0.838,0.815702,0.01763,0.01,160.0,200.0
short_tf5_0.838,0.820908,0.014812,0.01,160.0,250.0
