way,acc_mean,acc_std,learning_rate,n_estimators
l_fold10_0.86,0.851227,0.035554,0.001,40.0
l_fold10_0.86,0.851706,0.035412,0.001,60.0
l_fold10_0.86,0.851312,0.035049,0.001,80.0
l_fold10_0.86,0.853087,0.034166,0.001,100.0
l_fold10_0.86,0.854143,0.033528,0.001,120.0
l_fold10_0.86,0.854551,0.033069,0.001,140.0
l_fold10_0.86,0.854227,0.033159,0.001,160.0
l_fold10_0.86,0.854368,0.033499,0.001,180.0
l_fold10_0.86,0.856636,0.030911,0.001,200.0
l_fold10_0.86,0.85665,0.031559,0.001,220.0
l_fold10_0.86,0.856932,0.031333,0.005,40.0
l_fold10_0.86,0.855565,0.032743,0.005,60.0
l_fold10_0.86,0.857579,0.034181,0.005,80.0
l_fold10_0.86,0.856129,0.034647,0.005,100.0
l_fold10_0.86,0.854256,0.035604,0.005,120.0
l_fold10_0.86,0.85472,0.035953,0.005,140.0
l_fold10_0.86,0.855734,0.035816,0.005,160.0
l_fold10_0.86,0.855284,0.035961,0.005,180.0
l_fold10_0.86,0.855424,0.035105,0.005,200.0
l_fold10_0.86,0.857748,0.035005,0.005,220.0
l_fold10_0.86,0.857678,0.033362,0.01,40.0
l_fold10_0.86,0.854495,0.035201,0.01,60.0
l_fold10_0.86,0.855115,0.036751,0.01,80.0
l_fold10_0.86,0.854931,0.035681,0.01,100.0
l_fold10_0.86,0.856636,0.03439,0.01,120.0
l_fold10_0.86,0.855917,0.035168,0.01,140.0
l_fold10_0.86,0.854396,0.036914,0.01,160.0
l_fold10_0.86,0.852959,0.036661,0.01,180.0
l_fold10_0.86,0.851875,0.037254,0.01,200.0
l_fold10_0.86,0.852044,0.036846,0.01,220.0
l_fold10_0.86,0.852072,0.034868,0.05,40.0
l_fold10_0.86,0.854931,0.039863,0.05,60.0
l_fold10_0.86,0.85879,0.040423,0.05,80.0
l_fold10_0.86,0.857086,0.042072,0.05,100.0
l_fold10_0.86,0.856706,0.043556,0.05,120.0
l_fold10_0.86,0.855861,0.043897,0.05,140.0
l_fold10_0.86,0.854213,0.043748,0.05,160.0
l_fold10_0.86,0.854255,0.044268,0.05,180.0
