way,acc_mean,acc_std,learning_rate,n_estimators
s_ts5_0.82,0.80218,0.024971,0.001,40.0
s_ts5_0.82,0.802501,0.025001,0.001,60.0
s_ts5_0.82,0.802789,0.025344,0.001,80.0
s_ts5_0.82,0.803735,0.023017,0.001,100.0
s_ts5_0.82,0.803397,0.023135,0.001,120.0
s_ts5_0.82,0.805087,0.023363,0.001,140.0
s_ts5_0.82,0.80338,0.025491,0.001,160.0
s_ts5_0.82,0.807166,0.026207,0.001,180.0
s_ts5_0.82,0.80453,0.025638,0.001,200.0
s_ts5_0.82,0.804175,0.02573,0.001,220.0
s_ts5_0.82,0.804682,0.025619,0.005,40.0
s_ts5_0.82,0.80409,0.025226,0.005,60.0
s_ts5_0.82,0.805764,0.02485,0.005,80.0
s_ts5_0.82,0.80889,0.022772,0.005,100.0
s_ts5_0.82,0.80813,0.022275,0.005,120.0
s_ts5_0.82,0.806389,0.015297,0.005,140.0
s_ts5_0.82,0.807386,0.014633,0.005,160.0
s_ts5_0.82,0.811831,0.010259,0.005,180.0
s_ts5_0.82,0.811916,0.009392,0.005,200.0
s_ts5_0.82,0.812524,0.00849,0.005,220.0
s_ts5_0.82,0.808011,0.024915,0.01,40.0
s_ts5_0.82,0.80671,0.022303,0.01,60.0
s_ts5_0.82,0.808011,0.014593,0.01,80.0
s_ts5_0.82,0.812457,0.009009,0.01,100.0
s_ts5_0.82,0.814519,0.009301,0.01,120.0
s_ts5_0.82,0.81511,0.010248,0.01,140.0
s_ts5_0.82,0.817054,0.01039,0.01,160.0
s_ts5_0.82,0.815127,0.012744,0.01,180.0
s_ts5_0.82,0.814806,0.01313,0.01,200.0
s_ts5_0.82,0.818744,0.011525,0.01,220.0
s_ts5_0.82,0.81271,0.010926,0.05,40.0
s_ts5_0.82,0.819539,0.014867,0.05,60.0
s_ts5_0.82,0.819843,0.018232,0.05,80.0
s_ts5_0.82,0.820772,0.021104,0.05,100.0
s_ts5_0.82,0.819505,0.02432,0.05,120.0
s_ts5_0.82,0.823274,0.021256,0.05,140.0
s_ts5_0.82,0.823967,0.019303,0.05,160.0
s_ts5_0.82,0.823375,0.022592,0.05,180.0
s_ts5_0.82,0.822801,0.023854,0.05,200.0
s_ts5_0.82,0.821263,0.025234,0.05,220.0
s_ts5_0.82,0.816006,0.028575,0.1,40.0
s_ts5_0.82,0.819133,0.027043,0.1,60.0
s_ts5_0.82,0.81653,0.029506,0.1,80.0
s_ts5_0.82,0.814012,0.030644,0.1,100.0
s_ts5_0.82,0.814722,0.029369,0.1,120.0
s_ts5_0.82,0.814181,0.032282,0.1,140.0
s_ts5_0.82,0.815837,0.031199,0.1,160.0
s_ts5_0.82,0.816784,0.030674,0.1,180.0
s_ts5_0.82,0.816429,0.03031,0.1,200.0
