learning_rate_,n_estimators_,acc_mean_mean,acc_mean_median,acc_mean_max,acc_mean_min,acc_mean_std
0.1,80,0.8468098,0.847562,0.855454,0.833748,0.009210422
0.1,100,0.8462612,0.846649,0.856539,0.833833,0.009084834
0.05,180,0.8456372,0.846311,0.855377,0.828946,0.010649611
0.05,100,0.846322,0.846269,0.857086,0.830593,0.009989948
0.05,160,0.845742,0.846159,0.855222,0.829608,0.010333185
0.05,80,0.8444484,0.845734,0.85879,0.823438,0.013130947
0.05,140,0.8455052,0.845466,0.855861,0.829565,0.010352271
0.05,200,0.845097,0.845314,0.855702,0.828255,0.010801795
0.05,120,0.8461112,0.845162,0.856706,0.831382,0.009605615
0.1,120,0.8454382,0.845077,0.856151,0.833706,0.008734935
