learning_rate_,n_estimators_,acc_mean_mean,acc_mean_median,acc_mean_max,acc_mean_min,acc_mean_std
0.05,160,0.821204,0.823967,0.828313,0.812318,0.007072722
0.05,180,0.820737,0.823375,0.828594,0.812101,0.006956189
0.05,140,0.820894167,0.823274,0.828679,0.812349,0.006908476
0.05,300,0.820388,0.8228175,0.824947,0.81097,0.006363827
0.05,200,0.820285833,0.822801,0.827651,0.811962,0.006686571
0.05,260,0.820449,0.822737,0.825228,0.811094,0.006588286
0.05,240,0.82073425,0.8226935,0.826425,0.811125,0.006905728
0.05,280,0.82018075,0.822227,0.824524,0.811745,0.005753742
0.05,320,0.820018,0.822099,0.825059,0.810815,0.006292647
0.05,340,0.8196425,0.8218255,0.824073,0.810846,0.005964836
